league,season,team,players_used,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,url
ESP-La Liga,2324,Valencia,3,38,38,3420,38,45,1.18,160,114,73.8,13,10,15,13,34.2,6,3,3,0,50.0,/en/squads/dcc91a7b/2023-2024/Valencia-Stats
ESP-La Liga,2324,Villarreal,2,38,38,3420,38,65,1.71,214,150,72.4,14,11,13,6,15.8,6,6,0,0,0.0,/en/squads/2a8183b3/2023-2024/Villarreal-Stats
ESP-La Liga,2425,Alavés,3,38,38,3419,38,48,1.26,132,86,72.0,10,12,16,9,23.7,11,11,0,0,0.0,/en/squads/8d6fd021/2024-2025/Alaves-Stats
ESP-La Liga,2425,Athletic Club,3,38,38,3417,38,29,0.76,113,83,77.0,19,13,6,15,39.5,5,3,2,0,40.0,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats
ESP-La Liga,2425,Atlético Madrid,2,38,38,3420,38,30,0.79,116,88,78.4,22,10,6,17,44.7,5,5,0,0,0.0,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
ESP-La Liga,2425,Barcelona,3,38,38,3420,38,39,1.03,108,69,67.6,28,4,6,13,34.2,4,4,0,0,0.0,/en/squads/206d90db/2024-2025/Barcelona-Stats
ESP-La Liga,2425,Celta Vigo,2,38,38,3420,38,57,1.5,145,89,62.8,16,7,15,8,21.1,4,3,1,0,25.0,/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats
ESP-La Liga,2425,Espanyol,1,38,38,3420,38,51,1.34,193,141,75.6,11,9,18,8,21.1,6,4,2,0,33.3,/en/squads/a8661628/2024-2025/Espanyol-Stats
ESP-La Liga,2425,Getafe,1,38,38,3420,38,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,/en/squads/7848bd64/2024-2025/Getafe-Stats
ESP-La Liga,2425,Girona,3,38,38,3420,38,60,1.58,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50.0,/en/squads/9024a00a/2024-2025/Girona-Stats
ESP-La Liga,2425,Las Palmas,2,38,38,3420,38,61,1.61,182,120,69.2,8,8,22,4,10.5,10,5,4,1,44.4,/en/squads/0049d422/2024-2025/Las-Palmas-Stats
ESP-La Liga,2425,Leganés,2,38,38,3420,38,56,1.47,175,122,72.0,9,13,16,11,28.9,8,7,0,1,0.0,/en/squads/7c6f2c78/2024-2025/Leganes-Stats
ESP-La Liga,2425,Mallorca,2,38,38,3420,38,44,1.16,165,122,75.2,13,9,16,9,23.7,3,3,0,0,0.0,/en/squads/2aa12281/2024-2025/Mallorca-Stats
ESP-La Liga,2425,Osasuna,2,38,38,3420,38,52,1.37,187,136,75.9,12,16,10,9,23.7,7,7,0,0,0.0,/en/squads/03c57e2b/2024-2025/Osasuna-Stats
ESP-La Liga,2425,Rayo Vallecano,2,38,38,3420,38,45,1.18,153,107,74.5,13,13,12,10,26.3,8,6,2,0,25.0,/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats
ESP-La Liga,2425,Real Betis,3,38,38,3420,38,50,1.32,141,92,67.4,16,12,10,7,18.4,4,4,0,0,0.0,/en/squads/fc536746/2024-2025/Real-Betis-Stats
ESP-La Liga,2425,Real Madrid,3,38,38,3420,38,38,1.0,126,89,72.2,26,6,6,15,39.5,3,3,0,0,0.0,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
ESP-La Liga,2425,Real Sociedad,2,38,38,3420,38,46,1.21,142,94,71.1,13,7,18,13,34.2,7,5,2,0,28.6,/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats
ESP-La Liga,2425,Sevilla,2,38,38,3420,38,55,1.45,148,93,66.2,10,11,17,10,26.3,6,5,1,0,16.7,/en/squads/ad2be733/2024-2025/Sevilla-Stats
ESP-La Liga,2425,Valencia,2,38,38,3420,38,54,1.42,148,95,67.6,11,13,14,8,21.1,9,6,2,1,25.0,/en/squads/dcc91a7b/2024-2025/Valencia-Stats
ESP-La Liga,2425,Valladolid,3,38,38,3420,38,90,2.37,204,115,59.3,4,4,30,5,13.2,7,7,0,0,0.0,/en/squads/17859612/2024-2025/Valladolid-Stats
ESP-La Liga,2425,Villarreal,2,38,38,3420,38,51,1.34,160,110,72.5,20,10,8,7,18.4,8,7,0,1,0.0,/en/squads/2a8183b3/2024-2025/Villarreal-Stats
ESP-La Liga,2526,Alavés,1,35,35,3150,35,54,1.54,141,92,65.2,9,10,16,3,8.6,5,5,0,0,0.0,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2526,Athletic Club,1,35,35,3150,35,51,1.46,139,93,65.5,13,5,17,6,17.1,6,3,2,1,40.0,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2526,Atlético Madrid,2,35,35,3150,35,38,1.09,113,79,69.9,19,6,10,13,37.1,5,4,0,1,0.0,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2526,Barcelona,2,35,35,3150,35,31,0.89,116,89,75.9,30,1,4,15,42.9,4,3,1,0,25.0,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2526,Celta Vigo,1,35,35,3150,35,44,1.26,134,98,71.6,13,11,11,9,25.7,11,6,2,3,25.0,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2526,Elche,2,35,35,3150,35,54,1.54,158,110,69.6,9,12,14,7,20.0,7,6,0,1,0.0,/en/squads/6c8b07df/Elche-Stats
ESP-La Liga,2526,Espanyol,1,35,35,3150,35,53,1.51,171,123,71.9,10,9,16,9,25.7,5,5,0,0,0.0,/en/squads/a8661628/Espanyol-Stats
ESP-La Liga,2526,Getafe,1,35,35,3150,35,36,1.03,141,107,75.2,13,6,16,11,31.4,4,1,2,1,66.7,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2526,Girona,3,35,35,3148,35,52,1.49,166,119,71.7,9,12,14,6,17.1,6,5,0,1,0.0,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2526,Levante,2,35,35,3150,35,57,1.63,175,122,69.1,9,9,17,8,22.9,4,3,1,0,25.0,/en/squads/9800b6a1/Levante-Stats
ESP-La Liga,2526,Mallorca,2,35,35,3150,35,52,1.49,157,112,70.7,10,9,16,5,14.3,7,6,1,0,14.3,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2526,Osasuna,2,35,35,3150,35,45,1.29,154,117,76.0,11,9,15,7,20.0,8,8,0,0,0.0,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2526,Oviedo,1,35,35,3150,35,54,1.54,187,140,73.8,6,11,18,10,28.6,7,5,2,0,28.6,/en/squads/ab358912/Oviedo-Stats
ESP-La Liga,2526,Rayo Vallecano,2,35,35,3150,35,42,1.2,130,96,72.3,10,13,12,11,31.4,8,6,2,0,25.0,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2526,Real Betis,2,35,35,3150,35,43,1.23,146,109,73.3,13,15,7,10,28.6,7,4,2,1,33.3,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2526,Real Madrid,2,35,35,3150,35,33,0.94,108,79,73.1,24,5,6,12,34.3,4,4,0,0,0.0,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2526,Real Sociedad,1,35,35,3150,35,55,1.57,143,93,65.0,11,11,13,3,8.6,5,5,0,0,0.0,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2526,Sevilla,2,35,35,3150,35,56,1.6,141,95,66.7,11,7,17,6,17.1,11,9,1,1,10.0,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2526,Valencia,2,35,35,3150,35,50,1.43,142,98,69.0,11,9,15,9,25.7,7,6,1,0,14.3,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2526,Villarreal,2,35,35,3150,35,40,1.14,124,92,73.4,21,6,8,8,22.9,8,7,1,0,12.5,/en/squads/2a8183b3/Villarreal-Stats
FRA-Ligue 1,2223,Ajaccio,3,38,38,3420,38,74,1.95,161,89,59.6,7,5,26,6,15.8,10,9,0,1,0.0,/en/squads/7a54bb4f/2022-2023/Ajaccio-Stats
FRA-Ligue 1,2223,Angers,2,38,38,3420,38,81,2.13,197,119,63.5,4,6,28,4,10.5,11,9,1,1,10.0,/en/squads/69236f98/2022-2023/Angers-Stats
FRA-Ligue 1,2223,Auxerre,3,38,38,3420,38,63,1.66,181,117,67.4,8,11,19,7,18.4,6,4,2,0,33.3,/en/squads/5ae09109/2022-2023/Auxerre-Stats
FRA-Ligue 1,2223,Brest,2,38,38,3420,38,54,1.42,179,125,73.7,11,11,16,9,23.7,9,7,2,0,22.2,/en/squads/fb08dbb3/2022-2023/Brest-Stats
FRA-Ligue 1,2223,Clermont Foot,2,38,38,3420,38,49,1.29,164,111,75.0,17,8,13,10,26.3,12,8,4,0,33.3,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats
FRA-Ligue 1,2223,Lens,2,38,38,3420,38,29,0.76,129,101,79.8,25,9,4,15,39.5,3,3,0,0,0.0,/en/squads/fd4e0f7d/2022-2023/Lens-Stats
FRA-Ligue 1,2223,Lille,2,38,38,3420,38,44,1.16,122,80,67.2,19,10,9,10,26.3,5,4,1,0,20.0,/en/squads/cb188c0c/2022-2023/Lille-Stats
FRA-Ligue 1,2223,Lorient,2,38,38,3420,38,53,1.39,182,130,72.0,15,10,13,8,21.1,2,2,0,0,0.0,/en/squads/d2c87802/2022-2023/Lorient-Stats
FRA-Ligue 1,2223,Lyon,2,38,38,3417,38,47,1.24,155,111,76.8,18,8,12,8,21.1,11,11,0,0,0.0,/en/squads/d53c0b06/2022-2023/Lyon-Stats
FRA-Ligue 1,2223,Marseille,2,38,38,3420,38,40,1.05,142,105,75.4,22,7,9,10,26.3,5,5,0,0,0.0,/en/squads/5725cc7b/2022-2023/Marseille-Stats
FRA-Ligue 1,2223,Monaco,1,38,38,3420,38,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0,/en/squads/fd6114db/2022-2023/Monaco-Stats
FRA-Ligue 1,2223,Montpellier,4,38,38,3420,38,62,1.63,202,138,72.3,15,5,18,11,28.9,11,6,4,1,40.0,/en/squads/281b0e73/2022-2023/Montpellier-Stats
FRA-Ligue 1,2223,Nantes,2,38,38,3419,38,55,1.45,185,134,75.1,7,15,16,11,28.9,9,9,0,0,0.0,/en/squads/d7a486cd/2022-2023/Nantes-Stats
FRA-Ligue 1,2223,Nice,2,38,38,3420,38,37,0.97,147,109,76.9,15,13,10,11,28.9,5,3,1,1,25.0,/en/squads/132ebc33/2022-2023/Nice-Stats
FRA-Ligue 1,2223,Paris Saint-Germain,2,38,38,3420,38,40,1.05,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
FRA-Ligue 1,2223,Reims,2,38,38,3420,38,45,1.18,166,123,74.7,12,15,11,14,36.8,3,3,0,0,0.0,/en/squads/7fdd64e0/2022-2023/Reims-Stats
FRA-Ligue 1,2223,Rennes,2,38,38,3420,38,39,1.03,126,86,71.4,21,5,12,13,34.2,5,3,2,0,40.0,/en/squads/b3072e00/2022-2023/Rennes-Stats
FRA-Ligue 1,2223,Strasbourg,1,38,38,3420,38,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0,/en/squads/c0d3eab4/2022-2023/Strasbourg-Stats
FRA-Ligue 1,2223,Toulouse,1,38,38,3420,38,57,1.5,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9,/en/squads/3f8c4b5f/2022-2023/Toulouse-Stats
FRA-Ligue 1,2223,Troyes,2,38,38,3418,38,81,2.13,228,148,67.5,4,12,22,1,2.6,8,7,1,0,12.5,/en/squads/54195385/2022-2023/Troyes-Stats
FRA-Ligue 1,2324,Brest,2,34,34,3057,34,34,1.0,133,98,75.9,17,10,7,15,44.1,3,2,1,0,33.3,/en/squads/fb08dbb3/2023-2024/Brest-Stats
FRA-Ligue 1,2324,Clermont Foot,2,34,34,3060,34,60,1.76,212,152,75.0,5,10,19,5,14.7,9,7,1,1,12.5,/en/squads/d9676424/2023-2024/Clermont-Foot-Stats
FRA-Ligue 1,2324,Le Havre,2,34,34,3060,34,45,1.32,158,114,72.8,7,11,16,7,20.6,4,2,1,1,33.3,/en/squads/5c2737db/2023-2024/Le-Havre-Stats
FRA-Ligue 1,2324,Lens,2,34,34,3060,34,37,1.09,138,101,77.5,14,9,11,14,41.2,8,6,1,1,14.3,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
FRA-Ligue 1,2324,Lille,2,34,34,3060,34,34,1.0,128,94,75.8,16,11,7,15,44.1,5,3,2,0,40.0,/en/squads/cb188c0c/2023-2024/Lille-Stats
FRA-Ligue 1,2324,Lorient,1,34,34,3060,34,66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0,/en/squads/d2c87802/2023-2024/Lorient-Stats
FRA-Ligue 1,2324,Lyon,2,34,34,3060,34,55,1.62,169,114,69.8,16,5,13,10,29.4,6,4,1,1,20.0,/en/squads/d53c0b06/2023-2024/Lyon-Stats
FRA-Ligue 1,2324,Marseille,2,34,34,3060,34,41,1.21,130,90,70.8,13,11,10,7,20.6,3,3,0,0,0.0,/en/squads/5725cc7b/2023-2024/Marseille-Stats
FRA-Ligue 1,2324,Metz,2,34,34,3060,34,58,1.71,188,130,72.3,8,5,21,6,17.6,6,6,0,0,0.0,/en/squads/f83960ae/2023-2024/Metz-Stats
FRA-Ligue 1,2324,Monaco,2,34,34,3060,34,42,1.24,151,110,75.5,20,7,7,12,35.3,6,5,1,0,16.7,/en/squads/fd6114db/2023-2024/Monaco-Stats
FRA-Ligue 1,2324,Montpellier,2,34,34,3060,34,48,1.41,171,125,74.3,10,12,12,10,29.4,5,4,1,0,20.0,/en/squads/281b0e73/2023-2024/Montpellier-Stats
FRA-Ligue 1,2324,Nantes,3,34,34,3060,34,55,1.62,156,101,70.5,9,6,19,8,23.5,10,9,0,1,0.0,/en/squads/d7a486cd/2023-2024/Nantes-Stats
FRA-Ligue 1,2324,Nice,1,34,34,3060,34,29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5,/en/squads/132ebc33/2023-2024/Nice-Stats
FRA-Ligue 1,2324,Paris Saint-Germain,3,34,34,3058,34,33,0.97,147,113,80.3,22,10,2,12,35.3,5,4,1,0,20.0,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
FRA-Ligue 1,2324,Reims,1,34,34,3060,34,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3,/en/squads/7fdd64e0/2023-2024/Reims-Stats
FRA-Ligue 1,2324,Rennes,1,34,34,3060,34,46,1.35,147,104,70.7,12,10,12,7,20.6,3,3,0,0,0.0,/en/squads/b3072e00/2023-2024/Rennes-Stats
FRA-Ligue 1,2324,Strasbourg,2,34,34,3060,34,50,1.47,125,77,63.2,10,9,15,5,14.7,5,4,1,0,20.0,/en/squads/c0d3eab4/2023-2024/Strasbourg-Stats
FRA-Ligue 1,2324,Toulouse,1,34,34,3060,34,46,1.35,139,93,69.8,11,10,13,6,17.6,4,4,0,0,0.0,/en/squads/3f8c4b5f/2023-2024/Toulouse-Stats
FRA-Ligue 1,2425,Angers,2,34,34,3060,34,53,1.56,190,137,74.2,10,6,18,7,20.6,5,4,0,1,0.0,/en/squads/69236f98/2024-2025/Angers-Stats
FRA-Ligue 1,2425,Auxerre,2,34,34,3060,34,51,1.5,173,123,74.0,11,9,14,10,29.4,8,6,2,0,25.0,/en/squads/5ae09109/2024-2025/Auxerre-Stats
FRA-Ligue 1,2425,Brest,2,34,34,3060,34,59,1.74,141,83,63.8,15,5,14,10,29.4,10,8,1,1,11.1,/en/squads/fb08dbb3/2024-2025/Brest-Stats
FRA-Ligue 1,2425,Le Havre,2,34,34,3060,34,71,2.09,175,104,62.3,10,4,20,4,11.8,6,5,1,0,16.7,/en/squads/5c2737db/2024-2025/Le-Havre-Stats
FRA-Ligue 1,2425,Lens,3,34,34,3060,34,39,1.15,142,102,78.2,15,7,12,13,38.2,9,8,1,0,11.1,/en/squads/fd4e0f7d/2024-2025/Lens-Stats
FRA-Ligue 1,2425,Lille,1,34,34,3060,34,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0,/en/squads/cb188c0c/2024-2025/Lille-Stats
FRA-Ligue 1,2425,Lyon,2,34,34,3060,34,46,1.35,166,120,74.1,17,6,11,10,29.4,3,3,0,0,0.0,/en/squads/d53c0b06/2024-2025/Lyon-Stats
FRA-Ligue 1,2425,Marseille,1,34,34,3060,34,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,/en/squads/5725cc7b/2024-2025/Marseille-Stats
FRA-Ligue 1,2425,Monaco,2,34,34,3060,34,41,1.21,128,87,70.3,18,7,9,11,32.4,3,3,0,0,0.0,/en/squads/fd6114db/2024-2025/Monaco-Stats
FRA-Ligue 1,2425,Montpellier,2,34,34,3060,34,79,2.32,194,117,63.4,4,4,26,1,2.9,9,8,1,0,11.1,/en/squads/281b0e73/2024-2025/Montpellier-Stats
FRA-Ligue 1,2425,Nantes,3,34,34,3060,34,52,1.53,148,99,69.6,8,12,14,6,17.6,8,7,0,1,0.0,/en/squads/d7a486cd/2024-2025/Nantes-Stats
FRA-Ligue 1,2425,Nice,1,34,34,3060,34,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,/en/squads/132ebc33/2024-2025/Nice-Stats
FRA-Ligue 1,2425,Paris Saint-Germain,3,34,34,3060,34,35,1.03,103,69,68.9,26,6,2,7,20.6,3,3,0,0,0.0,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
FRA-Ligue 1,2425,Reims,1,34,34,3060,34,47,1.38,179,131,76.0,8,9,17,7,20.6,5,4,1,0,20.0,/en/squads/7fdd64e0/2024-2025/Reims-Stats
FRA-Ligue 1,2425,Rennes,3,34,34,3060,34,50,1.47,138,87,65.9,13,2,19,11,32.4,6,3,3,0,50.0,/en/squads/b3072e00/2024-2025/Rennes-Stats
FRA-Ligue 1,2425,Saint-Étienne,1,34,34,3060,34,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3,/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats
FRA-Ligue 1,2425,Strasbourg,2,34,34,3060,34,44,1.29,169,126,78.7,16,9,9,10,29.4,9,8,1,0,11.1,/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats
FRA-Ligue 1,2425,Toulouse,3,34,34,3060,34,43,1.26,108,67,61.1,11,9,14,10,29.4,2,1,1,0,50.0,/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats
FRA-Ligue 1,2526,Angers,3,33,33,2970,33,47,1.42,174,131,74.7,9,8,16,10,30.3,6,3,2,1,40.0,/en/squads/69236f98/Angers-Stats
FRA-Ligue 1,2526,Auxerre,2,33,33,2968,33,44,1.33,146,107,71.9,7,10,16,8,24.2,5,3,2,0,40.0,/en/squads/5ae09109/Auxerre-Stats
FRA-Ligue 1,2526,Brest,2,32,32,2876,32,55,1.72,149,99,65.8,10,8,14,9,28.1,5,4,1,0,20.0,/en/squads/fb08dbb3/Brest-Stats
FRA-Ligue 1,2526,Le Havre,3,33,33,2970,33,44,1.33,133,96,71.4,6,14,13,7,21.2,7,6,1,0,14.3,/en/squads/5c2737db/Le-Havre-Stats
FRA-Ligue 1,2526,Lens,1,32,32,2880,32,33,1.03,103,75,70.9,21,4,7,11,34.4,6,3,2,1,40.0,/en/squads/fd4e0f7d/Lens-Stats
FRA-Ligue 1,2526,Lille,2,33,33,2970,33,35,1.06,105,72,68.6,18,7,8,13,39.4,4,2,1,1,33.3,/en/squads/cb188c0c/Lille-Stats
FRA-Ligue 1,2526,Lorient,2,33,33,2970,33,49,1.48,126,81,64.3,11,12,10,7,21.2,6,4,0,2,0.0,/en/squads/d2c87802/Lorient-Stats
FRA-Ligue 1,2526,Lyon,2,33,33,2970,33,36,1.09,122,90,72.1,18,6,9,15,45.5,5,2,3,0,60.0,/en/squads/d53c0b06/Lyon-Stats
FRA-Ligue 1,2526,Marseille,2,33,33,2970,33,44,1.33,124,85,68.5,17,5,11,9,27.3,6,5,0,1,0.0,/en/squads/5725cc7b/Marseille-Stats
FRA-Ligue 1,2526,Metz,2,33,33,2970,33,76,2.3,185,117,62.7,3,7,23,6,18.2,8,7,1,0,12.5,/en/squads/f83960ae/Metz-Stats
FRA-Ligue 1,2526,Monaco,2,33,33,2970,33,49,1.48,136,91,66.9,16,6,11,7,21.2,5,4,0,1,0.0,/en/squads/fd6114db/Monaco-Stats
FRA-Ligue 1,2526,Nantes,2,33,33,2970,33,52,1.58,155,108,69.7,5,8,20,7,21.2,5,5,0,0,0.0,/en/squads/d7a486cd/Nantes-Stats
FRA-Ligue 1,2526,Nice,2,33,33,2970,33,60,1.82,158,107,67.1,7,10,16,5,15.2,10,8,1,1,11.1,/en/squads/132ebc33/Nice-Stats
FRA-Ligue 1,2526,Paris FC,2,33,33,2970,33,49,1.48,122,81,66.4,10,11,12,8,24.2,12,8,2,2,20.0,/en/squads/056a5a75/Paris-FC-Stats
FRA-Ligue 1,2526,Paris Saint-Germain,3,32,32,2880,32,27,0.84,84,60,69.0,23,4,5,17,53.1,4,1,2,1,66.7,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
FRA-Ligue 1,2526,Rennes,2,33,33,2970,33,47,1.42,126,84,65.9,17,8,8,10,30.3,6,4,2,0,33.3,/en/squads/b3072e00/Rennes-Stats
FRA-Ligue 1,2526,Strasbourg,2,32,32,2880,32,42,1.31,135,98,71.9,13,8,11,9,28.1,5,4,1,0,20.0,/en/squads/c0d3eab4/Strasbourg-Stats
FRA-Ligue 1,2526,Toulouse,2,33,33,2970,33,46,1.39,126,85,67.5,12,8,13,9,27.3,5,5,0,0,0.0,/en/squads/3f8c4b5f/Toulouse-Stats
ITA-Serie A,2223,Atalanta,3,38,38,3420,38,48,1.26,153,107,70.6,19,7,12,9,23.7,3,3,0,0,0.0,/en/squads/922493f3/2022-2023/Atalanta-Stats
ITA-Serie A,2223,Bologna,2,38,38,3420,38,49,1.29,165,117,74.5,14,12,12,8,21.1,9,7,2,0,22.2,/en/squads/1d8099f8/2022-2023/Bologna-Stats
ITA-Serie A,2223,Cremonese,3,38,38,3420,38,69,1.82,225,157,71.6,5,12,21,6,15.8,5,5,0,0,0.0,/en/squads/9aad3a77/2022-2023/Cremonese-Stats
ITA-Serie A,2223,Empoli,3,38,38,3420,38,49,1.29,159,110,71.7,10,13,15,9,23.7,6,4,1,1,20.0,/en/squads/a3d88bd8/2022-2023/Empoli-Stats
ITA-Serie A,2223,Fiorentina,4,38,38,3420,38,43,1.13,120,78,70.0,15,11,12,10,26.3,8,7,1,0,12.5,/en/squads/421387cf/2022-2023/Fiorentina-Stats
ITA-Serie A,2223,Hellas Verona,2,38,38,3420,38,59,1.55,185,128,68.6,7,10,21,6,15.8,2,1,1,0,50.0,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats
ITA-Serie A,2223,Inter,3,38,38,3420,38,42,1.11,137,98,71.5,23,3,12,13,34.2,3,3,0,0,0.0,/en/squads/d609edc0/2022-2023/Internazionale-Stats
ITA-Serie A,2223,Juventus,2,38,38,3420,38,33,0.87,133,99,78.2,22,6,10,20,52.6,5,4,1,0,20.0,/en/squads/e0652b02/2022-2023/Juventus-Stats
ITA-Serie A,2223,Lazio,2,38,38,3418,38,30,0.79,128,99,77.3,22,8,8,21,55.3,2,1,0,1,0.0,/en/squads/7213da33/2022-2023/Lazio-Stats
ITA-Serie A,2223,Lecce,1,38,38,3420,38,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7,/en/squads/ffcbe334/2022-2023/Lecce-Stats
ITA-Serie A,2223,Milan,3,38,38,3420,38,43,1.13,123,80,68.3,20,10,8,12,31.6,5,4,1,0,20.0,/en/squads/dc56fe14/2022-2023/Milan-Stats
ITA-Serie A,2223,Monza,2,38,38,3420,38,52,1.37,172,121,71.5,14,10,14,10,26.3,3,3,0,0,0.0,/en/squads/21680aa4/2022-2023/Monza-Stats
ITA-Serie A,2223,Napoli,2,38,38,3420,38,28,0.74,107,78,74.8,28,6,4,18,47.4,2,1,1,0,50.0,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
ITA-Serie A,2223,Roma,2,38,38,3420,38,38,1.0,118,80,69.5,18,9,11,14,36.8,3,2,1,0,33.3,/en/squads/cf74a709/2022-2023/Roma-Stats
ITA-Serie A,2223,Salernitana,3,38,38,3420,38,62,1.63,196,130,71.9,9,15,14,7,18.4,11,7,4,0,36.4,/en/squads/c5577084/2022-2023/Salernitana-Stats
